sort,data_sortedness,average_sort_time,stdev_time,average_memory_usage,stdev_memory_usage
quickSort,25,0.061698,0.003513,0.016406,0.036685
quickSort,50,0.060815,0.00371,0.000781,0.001747
quickSort,75,0.056642,0.000449,0.0,0.0
quickSort,100,0.056394,0.000884,0.0,0.0
mergeSort,25,0.118036,0.006362,0.0,0.0
mergeSort,50,0.122486,0.032086,0.0,0.0
mergeSort,75,0.107981,0.00068,0.0,0.0
mergeSort,100,0.110315,0.002323,0.0,0.0
selectionSort,25,4.758445,0.012008,0.0,0.0
selectionSort,50,4.619161,0.005771,0.0,0.0
selectionSort,75,4.53667,0.011016,0.0,0.0
selectionSort,100,4.507014,0.011744,0.0,0.0
insertionSort,25,22.386919,0.318442,0.0,0.0
insertionSort,50,9.840416,0.027633,0.0,0.0
insertionSort,75,2.47678,0.056654,0.0,0.0
insertionSort,100,0.001998,1.2e-05,0.0,0.0
bubbleSort,25,22.20306,0.233738,0.0,0.0
